Team 1
1 P 0: Bedard, Erik                [01000000] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
25 LF 5: Matsui, Hideki            [01000000] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
26 P 5: Bean, Colter               [10000000] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: Igawa, Kei                 [10000000] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 P 5: Wright, Chase              [10000000] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 P 5: Britton, Chris             [10000000] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
30 P 5: Karstens, Jeff             [10000000] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
31 P 5: Veras, Jose                [10000000] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
32 P 5: Rasner, Darrell            [10000000] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
33 P 5: Sanchez, Humberto          [10000000] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
34 RF 5: Thompson, Kevin           [10000000] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 4
1 P 0: Kazmir, Scott               [01000001] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Seo, Jae                    [01000001] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Shields, James              [01000001] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Fossum, Casey               [01000001] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Jackson, Edwin              [01000001] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 2: Lugo, Ruddy                 [01000001] | [00000000] | [00000000] | [00000000] | [00001000] | [00000000]
7 P 2: Ryu, Jae-Kuk                [01000001] | [00000000] | [00000000] | [00000000] | [00001000] | [00000000]
8 P 3: Camp, Shawn                 [01000001] | [00000000] | [00000000] | [00000000] | [00001100] | [00000000]
9 P 3: Salas, Juan                 [01000001] | [00000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 3: Stokes, Brian              [01000001] | [00000000] | [00000000] | [00000000] | [00001100] | [00000000]
11 P 6: Glover, Gary               [01000001] | [00000000] | [00000000] | [00000000] | [00011000] | [00000000]
12 P 7: Reyes, Al                  [01000001] | [00000000] | [00000000] | [00000000] | [00011100] | [00000000]
13 C 5: Paul, Josh                 [01000001] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 C 5: Navarro, Dioner            [01000001] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 1B 5: Pena, Carlos              [01000001] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
16 2B 5: Harris, Brendan           [01000001] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
17 3B 5: Upton, B.J.               [01000001] | [00000000] | [00000000] | [00000010] | [00010100] | [00000000]
18 3B 5: Iwamura, Akinori          [01000001] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
19 3B 5: Wigginton, Ty             [01000001] | [00000000] | [00000000] | [00001010] | [00010100] | [00000000]
20 SS 5: Zobrist, Ben              [01000001] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
21 RF 5: Young, Delmon             [01000001] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
22 CF 5: Crawford, Carl            [01000001] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
23 CF 5: Dukes, Elijah             [01000001] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
24 CF 5: Baldelli, Rocco           [01000001] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
25 LF 5: Gomes, Jonny              [01000001] | [00000000] | [00000000] | [00001000] | [00010100] | [00000000]
26 P 5: Switzer, Jon               [10000001] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: Orvella, Chad              [10000001] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 P 5: Corcoran, Tim              [10000001] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 P 5: Howell, J.P.               [10000001] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
30 C 5: Riggans, Shawn             [10000001] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
31 2B 5: Cantu, Jorge              [10000001] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
32 RF 5: Norton, Greg              [10000001] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 5
1 P 0: Halladay, Roy               [01000001] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Burnett, A.J.               [01000001] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Chacin, Gustavo             [01000001] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Ohka, Tomo                  [01000001] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Towers, Josh                [01000001] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 2: Janssen, Casey              [01000001] | [01000000] | [00000000] | [00000000] | [00001000] | [00000000]
7 P 2: Marcum, Shaun               [01000001] | [01000000] | [00000000] | [00000000] | [00001000] | [00000000]
8 P 3: Zambrano, Victor            [01000001] | [01000000] | [00000000] | [00000000] | [00001100] | [00000000]
9 P 3: Accardo, Jeremy             [01000001] | [01000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 4: Downs, Scott               [01000001] | [01000000] | [00000000] | [00000000] | [00010000] | [00000000]
11 P 6: Frasor, Jason              [01000001] | [01000000] | [00000000] | [00000000] | [00011000] | [00000000]
12 P 7: Ryan, B.J.                 [01000001] | [01000000] | [00000000] | [00000000] | [00011100] | [00000000]
13 C 5: Phillips, Jason            [01000001] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 C 5: Zaun, Gregg                [01000001] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 1B 5: Thomas, Frank             [01000001] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
16 1B 5: Overbay, Lyle             [01000001] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
17 2B 5: Smith, Jason              [01000001] | [01000000] | [00000000] | [00001110] | [00010100] | [00000000]
18 2B 5: Hill, Aaron               [01000001] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
19 3B 5: Glaus, Troy               [01000001] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
20 SS 5: Clayton, Royce            [01000001] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
21 SS 5: McDonald, John            [01000001] | [01000000] | [00000000] | [00000110] | [00010100] | [00000000]
22 1B 5: Stairs, Matt              [01000001] | [01000000] | [00000000] | [00001000] | [00010100] | [00000000]
23 CF 5: Wells, Vernon             [01000001] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
24 RF 5: Rios, Alex                [01000001] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
25 RF 5: Johnson, Reed             [01000001] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
26 P 5: McGowan, Dustin            [10000001] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: League, Brandon            [10000001] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 LF 5: Lind, Adam                [10000001] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 6
1 P 0: Contreras, Jose             [01000001] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Garland, Jon                [01000001] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Buehrle, Mark               [01000001] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Vazquez, Javier             [01000001] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Danks, John                 [01000001] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 2: Masset, Nick                [01000001] | [10000000] | [00000000] | [00000000] | [00001000] | [00000000]
7 P 2: Sisco, Andrew               [01000001] | [10000000] | [00000000] | [00000000] | [00001000] | [00000000]
8 P 3: MacDougal, Mike             [01000001] | [10000000] | [00000000] | [00000000] | [00001100] | [00000000]
9 P 3: Aardsma, David              [01000001] | [10000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 6: Thornton, Matt             [01000001] | [10000000] | [00000000] | [00000000] | [00011000] | [00000000]
11 P 7: Jenks, Bobby               [01000001] | [10000000] | [00000000] | [00000000] | [00011100] | [00000000]
12 C 5: Pierzynski, A.J.           [01000001] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
13 C 5: Molina, Gustavo            [01000001] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 1B 5: Konerko, Paul             [01000001] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 1B 5: Thome, Jim                [01000001] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
16 2B 5: Iguchi, Tadahito          [01000001] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
17 3B 5: Crede, Joe                [01000001] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
18 3B 5: Ozuna, Pablo              [01000001] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
19 SS 5: Cintron, Alex             [01000001] | [10000000] | [00000000] | [00001010] | [00010100] | [00000000]
20 SS 5: Uribe, Juan               [01000001] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
21 RF 5: Anderson, Brian N.        [01000001] | [10000000] | [00000000] | [00001100] | [00010100] | [00000000]
22 RF 5: Mackowiak, Rob            [01000001] | [10000000] | [00000000] | [00001000] | [00010100] | [00000000]
23 RF 5: Dye, Jermaine             [01000001] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
24 CF 5: Erstad, Darin             [01000001] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
25 LF 5: Podsednik, Scott          [01000001] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
26 P 5: Logan, Boone               [10000001] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: Day, Dewon                 [10000001] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 C 5: Hall, Toby                 [10000001] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 2B 5: Gonzalez, Andy            [10000001] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
30 3B 5: Fields, Josh              [10000001] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
31 RF 5: Sweeney, Ryan             [10000001] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
32 LF 5: Owens, Jerry              [10000001] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 7
1 P 0: Sabathia, C.C.              [01000001] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Westbrook, Jake             [01000001] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Sowers, Jeremy              [01000001] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Byrd, Paul                  [01000001] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Lee, Cliff                  [01000001] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 1: Carmona, Fausto             [01000001] | [11000000] | [00000000] | [00000000] | [00000100] | [00000000]
7 P 2: Cabrera, Fernando           [01000001] | [11000000] | [00000000] | [00000000] | [00001000] | [00000000]
8 P 3: Mastny, Tom                 [01000001] | [11000000] | [00000000] | [00000000] | [00001100] | [00000000]
9 P 3: Fultz, Aaron                [01000001] | [11000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 6: Betancourt, Rafael         [01000001] | [11000000] | [00000000] | [00000000] | [00011000] | [00000000]
11 P 6: Baker, Great               [01000001] | [11000000] | [00000000] | [00000000] | [00011000] | [00000000]
12 P 7: Borowski, Joe              [01000001] | [11000000] | [00000000] | [00000000] | [00011100] | [00000000]
13 C 5: Shoppach, Kelly            [01000001] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 C 5: Martinez, Victor           [01000001] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 1B 5: Blake, Casey              [01000001] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
16 1B 5: Garko, Ryan               [01000001] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
17 2B 5: Rouse, Mike               [01000001] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
18 2B 5: Barfield, Josh            [01000001] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
19 3B 5: Marte, Andy               [01000001] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
20 SS 5: Peralta, Jhonny           [01000001] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
21 RF 5: Nixon, Trot               [01000001] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
22 RF 5: Dellucci, David           [01000001] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
23 CF 5: Sizemore, Grady           [01000001] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
24 LF 5: Michaels, Jason           [01000001] | [11000000] | [00000000] | [00001010] | [00010100] | [00000000]
25 1B 5: Hafner, Travis            [01000001] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
26 P 5: Mujica, Edward             [10000001] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: Miller, Matt               [10000001] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 P 5: Davis, Jason               [10000001] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 P 5: Perez, Rafael              [10000001] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
30 2B 5: Inglett, Joe              [10000001] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
31 RF 5: Francisco, Ben            [10000001] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
32 RF 5: Choo, Shin-Soo            [10000001] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
33 CF 5: Gutierrez, Franklin       [10000001] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 8
1 P 0: Bonderman, Jeremy           [01000010] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Robertson, Nate             [01000010] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Maroth, Mike                [01000010] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Verlander, Justin           [01000010] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Durbin, Chad                [01000010] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 1: Ledezma, Wilfredo           [01000010] | [00000000] | [00000000] | [00000000] | [00000100] | [00000000]
7 P 2: Seay, Bobby                 [01000010] | [00000000] | [00000000] | [00000000] | [00001000] | [00000000]
8 P 3: Grilli, Jason               [01000010] | [00000000] | [00000000] | [00000000] | [00001100] | [00000000]
9 P 3: Mesa, Jose                  [01000010] | [00000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 3: Rodney, Fernando           [01000010] | [00000000] | [00000000] | [00000000] | [00001100] | [00000000]
11 P 6: Zumaya, Joel               [01000010] | [00000000] | [00000000] | [00000000] | [00011000] | [00000000]
12 P 7: Jones, Todd                [01000010] | [00000000] | [00000000] | [00000000] | [00011100] | [00000000]
13 C 5: Rabelo, Mike               [01000010] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 C 5: Rodriguez, Ivan            [01000010] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 1B 5: Casey, Sean               [01000010] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
16 2B 5: Polanco, Placido          [01000010] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
17 3B 5: Inge, Brandon             [01000010] | [00000000] | [00000000] | [00000001] | [00010100] | [00000000]
18 SS 5: Guillen, Carlos           [01000010] | [00000000] | [00000000] | [00000001] | [00010100] | [00000000]
19 SS 5: Infante, Omar             [01000010] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
20 SS 5: Perez, Neifi              [01000010] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
21 RF 5: Thames, Marcus            [01000010] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
22 RF 5: Monroe, Craig             [01000010] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
23 RF 5: Sheffield, Gary           [01000010] | [00000000] | [00000000] | [00000100] | [00010100] | [00000000]
24 RF 5: Ordonez, Magglio          [01000010] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
25 CF 5: Granderson, Curtis        [01000010] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
26 P 5: Miller, Andrew             [10000010] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: Miner, Zach                [10000010] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 P 5: Colon, Roman               [10000010] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 P 5: Vasquez, Virgil            [10000010] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
30 P 5: Rogers, Kenny              [10000010] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
31 P 5: Campusano, Edward          [10000010] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
32 C 5: Wilson, Vance              [10000010] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
33 SS 5: Giarratano, Tony          [10000010] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 9
1 P 0: Meche, Gil                  [01000010] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Perez, Odalis               [01000010] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: de la Rosa, Jorge           [01000010] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Greinke, Zack               [01000010] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Duckworth, Brandon          [01000010] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 2: Gobble, Jimmy               [01000010] | [01000000] | [00000000] | [00000000] | [00001000] | [00000000]
7 P 2: Braun, Ryan                 [01000010] | [01000000] | [00000000] | [00000000] | [00001000] | [00000000]
8 P 3: Soria, Joakim               [01000010] | [01000000] | [00000000] | [00000000] | [00001100] | [00000000]
9 P 3: Peralta, Joel               [01000010] | [01000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 3: Wellemeyer, Todd           [01000010] | [01000000] | [00000000] | [00000000] | [00001100] | [00000000]
11 P 6: Riske, David               [01000010] | [01000000] | [00000000] | [00000000] | [00011000] | [00000000]
12 P 7: Dotel, Octavio             [01000010] | [01000000] | [00000000] | [00000000] | [00011100] | [00000000]
